model,block,H0,Omega_m0,Lambda_over_rhoc0,phi_a,sigma_a,alpha,phi_b,sigma_b,phi_ini,phip_ini,E0,DM,O_F,phi0,phip0,zt,zdagger,Delta_z,E0_minus_1,DM_minus_cal_Mpc,R_E0,R_DM,cost,optimizer_success,optimizer_status,optimizer_message,nfev,optimality,zdagger_target,R_zdagger,integration_valid,crossings_finite,parameters_at_bounds,conv_dE0,conv_dDM_Mpc,conv_dzt,conv_dzdagger,accepted
sigmoid_gaussian,A,75,0.2544661182926538,0.7481021905859446,0.1228821423737064,0.06,0.3,0.1,0.05,0.0,0.0,1.0,13869.569999999992,0.0,0.6364055403913422,-0.12567850644781284,1.9077379431926735,1.574453401897177,0.33328454129549656,0.0,-7.275957614183426e-12,0.0,-2.9103830456733704e-13,4.235164736271502e-26,True,1,`gtol` termination condition is satisfied.,8,1.388105724958146e-10,,,True,True,False,-5.019318294330333e-13,-2.305205271113664e-07,-6.142508723883111e-11,-6.729083956713566e-11,True
sigmoid_gaussian,A,73,0.26860047202029985,0.7330515837316055,0.11075025410830222,0.06,0.3,0.1,0.05,0.0,0.0,0.9999999999999981,13869.569999996536,-1.1102230246251565e-16,0.574882243766853,-0.1015757592825761,2.123767709085728,1.7659872173943785,0.3577804916913494,-1.887379141862766e-15,-3.4633558243513107e-09,-1.887379141862766e-11,-1.3853423297405242e-10,9.773976854111449e-21,True,3,`xtol` termination condition is satisfied.,8,2.842382060702433e-07,,,True,True,False,4.1733283495659634e-13,9.244704415323213e-07,3.464077913406527e-10,2.4401392018091883e-10,True
sigmoid_gaussian,A,71,0.28394602566875177,0.7168916812704405,0.09524769071858707,0.06,0.3,0.1,0.05,0.0,0.0,1.0,13869.569999999982,0.0,0.495734900662354,-0.07377509742484392,2.4793683654004246,2.0948870292210984,0.3844813361793262,0.0,-1.8189894035458565e-11,0.0,-7.275957614183426e-13,2.646977960169689e-25,True,1,`gtol` termination condition is satisfied.,9,3.339806624861981e-10,,,True,True,False,-5.362377208939506e-14,-7.540620572399348e-08,-2.2515767028608025e-11,3.431299688827494e-10,True
sigmoid_gaussian,A,69,0.30064522482591427,0.6996393083945943,0.07031291362086271,0.06,0.3,0.1,0.05,0.0,0.0,1.0,13869.570000000002,0.0,0.3760391237760204,-0.04298621284572446,3.272283709516468,2.8146088854687803,0.4576748240476878,0.0,1.8189894035458565e-12,0.0,7.275957614183426e-14,2.6469779601696887e-27,True,1,`gtol` termination condition is satisfied.,9,5.9240123599031e-11,,,True,True,False,3.086420008457935e-14,1.5665973478462547e-06,3.872457909892546e-12,-1.426423423822598e-10,True
sigmoid_gaussian,A,68,0.3095527498694155,0.691737771606719,0.044929876084136434,0.06,0.3,0.1,0.05,0.0,0.0,1.0,13869.570000000023,0.0,0.2630829530862366,-0.04977860989414114,4.439269238784585,3.8190410819760037,0.6202281568085817,0.0,2.3646862246096134e-11,0.0,9.458744898438454e-13,4.473392752686774e-25,True,1,`gtol` termination condition is satisfied.,21,2.2067343429693298e-10,,,True,True,False,1.3988810110276972e-14,-1.014203007798642e-06,-4.129097064264897e-10,-4.23225010592887e-10,True
sigmoid_gaussian,A,67,0.31886208852666015,0.6842286934002407,0.04068890210789234,0.06,0.3,0.1,0.05,0.0,0.0,1.0000014457115716,13903.167447604716,2.220446049250313e-16,0.20227918521205834,0.018607794010706603,4.621202265157677,3.9708476943244646,0.6503545708332128,1.4457115715682534e-06,33.59744760471585,0.014457115715682534,1.343897904188634,0.9031352925387098,True,2,`ftol` termination condition is satisfied.,40,0.008866168441859454,,,True,True,False,-3.4861002973229915e-13,6.366826710291207e-07,-4.47701431482983e-10,-2.869691151374809e-10,False
sigmoid_gaussian,B,75,0.2544661182926538,0.750096483660272,0.1245519930111212,0.06,0.7,0.05,0.05,0.0,0.0,0.999999999999998,13869.570000000122,0.0,0.6211452589420698,-0.16661510523252254,1.5568736269426353,1.3859734988314287,0.17090012811120658,-1.9984014443252818e-15,1.2187229003757238e-10,-1.9984014443252818e-11,4.874891601502896e-12,2.1156270069727035e-22,True,3,`xtol` termination condition is satisfied.,15,3.3514663303397073e-07,,,True,True,False,-2.1660451210436804e-13,3.3206197258550674e-07,-5.430811356177401e-11,-7.413980540604825e-11,True
sigmoid_gaussian,B,73,0.26860047202029985,0.7341997706927791,0.12289608628286569,0.06,0.7,0.05,0.05,0.0,0.0,0.9999999999999998,13869.570000000012,0.0,0.5777478557966288,-0.1311721921763607,1.814197584979467,1.611151145054996,0.2030464399244709,-2.220446049250313e-16,1.2732925824820995e-11,-2.220446049250313e-12,5.093170329928399e-13,2.5948922488639767e-24,True,3,`xtol` termination condition is satisfied.,11,3.4566197127658215e-08,,,True,True,False,6.004086117172847e-13,-3.6531855585053563e-07,3.583753294122971e-10,2.866888948460655e-10,True
sigmoid_gaussian,B,71,0.28394602566875177,0.7174390642336657,0.11696160331246452,0.06,0.7,0.05,0.05,0.0,0.0,1.0,13869.569999999869,-1.1102230246251565e-16,0.5146758913446128,-0.0934115828737586,2.3643444651914494,2.0703688866543004,0.29397557853714895,0.0,-1.3096723705530167e-10,0.0,-5.2386894822120665e-12,1.3721933745519665e-23,True,1,`gtol` termination condition is satisfied.,55,1.4901128088479318e-09,,,True,True,False,-4.142242104876459e-13,-6.717946234857664e-07,-1.667537219418591e-10,-1.6279777526051475e-10,True
sigmoid_gaussian,B,69,0.30064522482591427,0.6998400554006011,0.09397417582747945,0.06,0.7,0.05,0.05,0.0,0.0,0.9999999999999999,13869.570000000034,0.0,0.40289823741473973,-0.05553427612170654,4.64186166444311,3.7867112442428827,0.8551504202002271,-1.1102230246251565e-16,3.456079866737127e-11,-1.1102230246251565e-12,1.382431946694851e-12,1.571856625825173e-24,True,3,`xtol` termination condition is satisfied.,10,1.6749391465445047e-08,,,True,True,False,1.184607967275042e-13,1.1407682904973626e-06,5.017248838612431e-10,6.011040554199099e-10,True
